filename,conversation_no,act_tag,caller,text,pos
./data/verbmobil,r126c,INIT,A,maybe we should get together to talk further about this,maybe/we/should/get/together/to/talk/further/about/this
./data/verbmobil,r126c,SUGGEST,A,"<""ah> how 'bout some time in the next couple of weeks","<""ah>/how/'bout/some/time/in/the/next/couple/of/weeks"
./data/verbmobil,r126c,ACCEPT,B,okay,okay
./data/verbmobil,r126c,EXCLUDE,B,well I will be on vacation for the next two weeks,well/I/will/be/on/vacation/for/the/next/two/weeks
./data/verbmobil,r126c,SUGGEST,B,"<""ah> how about Friday the twenty first","<""ah>/how/about/Friday/the/twenty/first"
./data/verbmobil,r126c,EXPLAINED_REJECT,A,Friday the twenty first is scheduled from early morning to late afternoon,Friday/the/twenty/first/is/scheduled/from/early/morning/to/late/afternoon
./data/verbmobil,r126c,SUGGEST,A,"<""ah> could you perhaps choose another day a morning on a Wednesday or early afternoon on a Tuesday","<""ah>/could/you/perhaps/choose/another/day/a/morning/on/a/Wednesday/or/early/afternoon/on/a/Tuesday"
./data/verbmobil,r126c,REJECT,B,mornings on Wednesdays seem bad,mornings/on/Wednesdays/seem/bad
./data/verbmobil,r126c,SUGGEST,B,"<""ah> how 'bout the twenty seventh twenty eighth or thirty first","<""ah>/how/'bout/the/twenty/seventh/twenty/eighth/or/thirty/first"
./data/verbmobil,r126c,REQUEST_COMMENT,B,do any of those three days suit you,do/any/of/those/three/days/suit/you
./data/verbmobil,r126c,EXCLUDE,A,"I have <""ahm> an indefinite length thing scheduled at ten $A $M on the twenty seventh","I/have/<""ahm>/an/indefinite/length/thing/scheduled/at/ten/$A/$M/on/the/twenty/seventh"
./data/verbmobil,r126c,GIVE_REASON,A,but I should be able to get away from that within an hour or so,but/I/should/be/able/to/get/away/from/that/within/an/hour/or/so
./data/verbmobil,r126c,SUGGEST,A,"how 'bout <""ah> shortly after noon on the twenty seventh","how/'bout/<""ah>/shortly/after/noon/on/the/twenty/seventh"
./data/verbmobil,r126c,ACCEPT,B,okay the twenty seventh sound f= sounds fine,okay/the/twenty/seventh/sound/f=/sounds/fine
./data/verbmobil,r126c,REQUEST_SUGGEST,B,"<""ah> pick a time","<""ah>/pick/a/time"
./data/verbmobil,r126c,SUGGEST,A,how 'bout one $P $M of the twenty seventh,how/'bout/one/$P/$M/of/the/twenty/seventh
./data/verbmobil,r126c,REQUEST_SUGGEST,A,where do you think we should meet,where/do/you/think/we/should/meet
./data/verbmobil,r126c,SUGGEST,B,we will meet at my office,we/will/meet/at/my/office
./data/verbmobil,r126c,REQUEST_COMMENT,B,if you do not mind,if/you/do/not/mind
./data/verbmobil,r126c,ACCEPT,A,sounds good to me,sounds/good/to/me
./data/verbmobil,r126c,REQUEST_CLARIFY,A,what is your office,what/is/your/office
./data/verbmobil,r126c,REQUEST_CLARIFY,A,what number would it be,what/number/would/it/be
./data/verbmobil,r126c,CLARIFY,B,it is the interact lab here in Wean Hall,it/is/the/interact/lab/here/in/Wean/Hall
./data/verbmobil,r126c,ACCEPT,A,good I will meet you there,good/I/will/meet/you/there
./data/verbmobil,r126c,CONFIRM,A,this is one $P $M on the twenty seventh,this/is/one/$P/$M/on/the/twenty/seventh
./data/verbmobil,r127c,INIT,A,maybe we should get s= together some time and talk about this a little longer,maybe/we/should/get/s=/together/some/time/and/talk/about/this/a/little/longer
./data/verbmobil,r127c,REQUEST_SUGGEST,A,"do you have anything free in your schedule <""ah> from day after tomorrow on","do/you/have/anything/free/in/your/schedule/<""ah>/from/day/after/tomorrow/on"
./data/verbmobil,r127c,EXCLUDE,B,"well I will be on vacation the <""ah> second third and fourth","well/I/will/be/on/vacation/the/<""ah>/second/third/and/fourth"
./data/verbmobil,r127c,DEVIATE_SCENARIO,B,I am taking the family to Cancun,I/am/taking/the/family/to/Cancun
./data/verbmobil,r127c,SUGGEST,B,"<""ahm> how 'bout the seventh or the ninth or maybe even the fourteenth or seventeenth","<""ahm>/how/'bout/the/seventh/or/the/ninth/or/maybe/even/the/fourteenth/or/seventeenth"
./data/verbmobil,r127c,REJECT,A,well it looks like I am out of town on the seventh and the ninth,well/it/looks/like/I/am/out/of/town/on/the/seventh/and/the/ninth
./data/verbmobil,r127c,ACCEPT,A,but the fourteenth is open,but/the/fourteenth/is/open
./data/verbmobil,r127c,REQUEST_SUGGEST,A,"<""ah> what time suits you then","<""ah>/what/time/suits/you/then"
./data/verbmobil,r127c,SUGGEST,B,how 'bout two o'clock in the afternoon,how/'bout/two/o'clock/in/the/afternoon
./data/verbmobil,r127c,ACCEPT,A,two o'clock in the afternoon sounds fine,two/o'clock/in/the/afternoon/sounds/fine
./data/verbmobil,r127c,REQUEST_SUGGEST,A,where would you like to meet,where/would/you/like/to/meet
./data/verbmobil,r127c,SUGGEST,B,we will meet at your office i=,we/will/meet/at/your/office/i=
./data/verbmobil,r127c,REQUEST_COMMENT,B,if you do not mind,if/you/do/not/mind
./data/verbmobil,r127c,REQUEST_CLARIFY,A,do you still know where it is from last time or is this something new,do/you/still/know/where/it/is/from/last/time/or/is/this/something/new
./data/verbmobil,r127c,FEEDBACK_POSITIVE,B,nope I still remember where it is,nope/I/still/remember/where/it/is
./data/verbmobil,r127c,BYE,B,I will see you there,I/will/see/you/there
./data/verbmobil,r127c,BYE,A,see you there,see/you/there
./data/verbmobil,r128c,INIT,A,"<""ah> maybe you would like to meet further on this <""ahm>","<""ah>/maybe/you/would/like/to/meet/further/on/this/<""ahm>"
./data/verbmobil,r128c,GIVE_REASON,A,unfortunately it looks like I am going to be going on vacation shortly,unfortunately/it/looks/like/I/am/going/to/be/going/on/vacation/shortly
./data/verbmobil,r128c,SUGGEST,A,so if we could schedule some time this afternoon that would be good,so/if/we/could/schedule/some/time/this/afternoon/that/would/be/good
./data/verbmobil,r128c,EXPLAINED_REJECT,B,"that does not seem very possible <""ahm> if you are going to be on vacation here in the next few days and I will be out of town next week","that/does/not/seem/very/possible/<""ahm>/if/you/are/going/to/be/on/vacation/here/in/the/next/few/days/and/I/will/be/out/of/town/next/week"
./data/verbmobil,r128c,SUGGEST,B,"<""ah> what if we schedule it for the twenty seventh or twenty eighth","<""ah>/what/if/we/schedule/it/for/the/twenty/seventh/or/twenty/eighth"
./data/verbmobil,r128c,REQUEST_COMMENT,B,do either of those two days suit you,do/either/of/those/two/days/suit/you
